text,favorite_count,retweet_count,user.followers_count,user.friends_count,label
"Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons",14,159,1628,246,1
"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",38,486,129573,337,1
"Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news",15,127,529882,3051,1
BREAKING: 10 dead in shooting at headquarters of French satirical weekly #CharlieHebdo - French media citing witnesses. #France,15,105,499741,31,1
Reuters: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed the office,32,412,1377384,6,1
"10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx",48,510,1787519,17,1
"French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo",21,143,2835,2113,1
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,5,128,972167,1763,1
BREAKING NEWS: Ten dead in shooting at headquarters of French satirical weekly Charlie Hebdo - French media @Reuters @akhbar,22,119,85229,565,1
Witness says multiple gunmen involved in shooting at Paris HQ of French satirical magazine Charlie Hebdo - @AP http://t.co/ZFJYh80uxy,31,179,7193949,508,1
BREAKING: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed office.,7,114,18278,7082,1
BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq,48,254,20573,371,1
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,43,114,4730247,381,1
BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3,22,118,842441,460,1
"Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo that published Prophet Mohamed cartoons @AFP",21,180,85236,565,1
"Paris police: 10 dead, 5 injured at #CharlieHebdo shooting",12,116,6975,1174,1
BREAKING: 'Ten shot dead' as gunmen storm HQ of satirical magazine Charlie Hebdo in Paris http://t.co/yGyND65MR8 https://t.co/BFVHx422JS,6,133,159617,891,1
"Now we are confirming 10 dead in #Paris #CharlieHebdo shooting, via prosecutors office @AFP",7,196,2064,829,1
"Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo, killing at least 10, police say http://t.co/tYCeEMKwOo",33,279,5577526,974,1
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",214,1276,12907826,3,1
"Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.",64,166,19332,899,1
Update - Telegraph reporter Henry Samuels tells Sky News 10 people have been killed in shooting at Charlie Hebdo headquarters in #Paris,11,105,1377482,6,1
Just confirmed. 10 people dead at shooting in the centre of #Paris. Many believed to be journos working for #CharlieHebdo,11,121,2866,1837,1
French official says attack on Paris weekly #CharlieHebdo was with Kalachnikov automatic rifles and rocket launcher. Unprecedented. #AFP,44,426,2818,2113,1
Ten dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/JXujfbiZGu,28,266,3090705,1083,1
10 dead as shots fired at French satirical weekly #CharlieHebdo. #AFP http://t.co/KqSnXV4Kqf,10,119,36125,241,1
"Unconfirmed reports that #CharlieHebdo attackers shouted ""The Prophet is avenged"" and used a rocket launcher. This is next level ****.",57,226,35357,1524,1
Scene at Paris HQ of satirical magazine Charlie Hebdo - police confirm gunmen kill at least 10 http://t.co/t3gks9dapq http://t.co/bnD65c9hwF,260,1387,12906212,3,1
11 dead as shots fired at French satirical weekly #CharlieHebdo. Photo: Philippe Dupeyrat  #AFP http://t.co/q38epI1b8b,42,496,36132,241,1
Update - 11 people dead at headquarters of French satirical weekly publication Charlie Hebdo after armed gunmen stormed the office in #Paris,32,246,1376880,6,1
"10 people confirmed dead in Paris attack - rocket launcher used in assault, according to reports http://t.co/7N7uvClhWY",14,113,774181,264,1
"Paris-based journalist says the attack on Charlie Hebdo's HQ involved men armed with ""rocket propelled grenades"" http://t.co/1PJH17mcLz",35,152,1786456,17,1
"BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police  http://t.co/Q27XnP3AS3",23,165,842292,460,1
LIVE - 11 dead in shooting at HQ of satirical weekly @Charlie_Hebdo_ in Paris (police source)  https://t.co/4yt6nafpIg #CharlieHebdo,17,105,1251106,377,1
Witnesses say several masked men were involved in the shooting at #CharlieHebdo's Paris HQ. http://t.co/xcK8lY9IeR http://t.co/QPKtv7stET,18,149,1787115,17,1
"""Several men in black cagoules were heard to shout 'the Prophet has been avenged.'"" http://t.co/wu7XfGcZsM",17,134,19452,791,1
"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY",78,295,3029912,389,1
Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc,28,338,3091451,1083,1
At least 11 dead and 5 injured after gunmen storm Charlie Hebdo office in Paris http://t.co/Ujw9LonL8N http://t.co/JnhZmKeW5M,14,107,818631,2355,1
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt",287,2042,12907286,3,1
BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be,32,203,973212,1763,1
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,17,114,36037,241,1
"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD",14,116,1253289,378,1
"11 dead in Paris shooting at French satirical newspaper Charlie Hebdo, police official says - @AP http://t.co/ZFJYh80uxy",46,317,7194206,508,1
"French media to be put under police protection according to Le Figaro, quoting source in police. #Charliehebdo",22,116,1483,1065,1
Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,39,214,818296,2355,1
Horrendous story from Paris - 11 shot dead + many wounded at offices of satirical mag #CharlieHebdo that published cartoons of Muhammad.,96,348,4328715,941,1
"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP",21,144,774627,264,1
Armed men were reportedly asking for journalists by name at Charlie Hebdo. Unimaginable..  http://t.co/A11KlzNPnn,29,208,5491,1239,1
#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo: @MartinBureau1 #AFP http://t.co/xkczbYS82E,24,141,36068,241,1
#CharlieHebdo - 11 dead including 2 police in Paris shooting by @MartinBureau1 #AFP http://t.co/T8HpVdpjjN,37,205,1902,477,1
Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT,24,104,818843,2355,1
Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN,30,124,285305,6388,1
Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo http://t.co/K4WBMHDNxO,31,151,6708933,776,1
"French President Hollande condemns ""barbaric act"" after #CharlieHebdo gun attack kills 11 http://t.co/keuR4WvpHu http://t.co/vyuRvukz1N",476,1829,12906502,3,1
"Video showing #CharlieHebdo attack. ""Allahu akbar"" shouts http://t.co/y1ErbSGv5P",47,240,6894,1167,1
#CharlieHebdo gunmen fled in stolen car after 'mass shoot-out' with police officers http://t.co/eocvQn42Hg http://t.co/545ooj5xMM,15,144,818615,2355,1
"French leader: Attack that killed 11 at Paris newspaper an act of terror, other attacks thwarted in recent weeks: http://t.co/9rrqfEaQj5",60,424,4554496,7352,1
Reports #CharlieHebdo gunmen were asking for journalists by name before opening fire. Armed with AK47s and RPG,19,161,69562,366,1
Graphic: Video shows gunmen with automatic rifles during attack on #CharlieHebdo in #Paris: https://t.co/fQXxNsJOWq http://t.co/Y0uxe72R2N,279,958,22456,1053,1
Reports that two of the dead in the #CharlieHebdo attack are police officers http://t.co/2J4WQdJnTp http://t.co/LiPDxdq1cb,22,141,476910,488,1
"Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest.",44,387,2228,570,1
Awful. 11 shot dead in an assault on a Paris magazine. http://t.co/xxINS8etDB #CharlieHebdo http://t.co/as3YoLthcx,33,140,744726,757,1
"New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout ""Allahu Akbar"" http://t.co/TaZEDtGFlW @akhbar",45,222,85173,565,1
Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5,79,573,36111,241,1
Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …,46,134,907,1971,1
"Charlie Hebdo journalist Wandrille Lanos tells France 2 that men with kalashnikovs entered the office, calls it a ""scene of carnage.""",64,177,9229,1427,1
"Fact that the Gunmen were shouting ""Allah Hu Akbar"" while shooting rules out any connection with the Religion of peace. #CharlieHebdo",84,200,96458,4707,1
Cartoonist Stephane Charbonnier was critically injured in the attack (LeFigaro) #CharlieHebdo http://t.co/fHMfUmQffo,21,172,15764,2266,1
12 confirmed dead  in #CharlieHebdo attack (@AFP) http://t.co/82wVYNxteC,6,106,129582,337,1
"Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev",15,180,1557612,1319,1
Twelve people confirmed dead in shooting at French satirical magazine Charlie Hebdo in Paris http://t.co/X6UWH7PFP1 http://t.co/TCWtE8nkpm,18,125,529721,3050,1
Charlie Hebdo shooting is a ferociously shocking moment with terrible implications for us all:  http://t.co/sIJO1vRp3w Twelve now dead.,157,557,584117,326,1
Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5,22,120,53449,54,1
Update - Police say 12 people killed after armed gunmen stormed headquarters of French weekly publication 'Charlie Hebdo' in #Paris,25,161,1376932,6,1
