text,favorite_count,retweet_count,user.followers_count,user.friends_count,label
BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,37,574,57279,383,1
142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,2,40,8818,118,1
BREAKING: GermanWings A320 Crash in Southern France,1,27,10259,2286,1
BREAKING - A Germanwings Airbus A320 plane reportedly crashed in the region of Digne (French Alps) #Flightradar24 - French TV #itele,9,45,44674,733,1
"Sad news, plane crashed in southern France http://t.co/2K5CklKRzZ #GermanWings",9,61,1740,1432,1
"Airbus passenger plane crashed in French Alps said to belong to Lufthansa subsidiary Germanwings, flying Barcelone-Dusseldorf",2,27,3200,2151,1
"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",1,46,44674,733,1
Several European news agencies reporting an accident involving a Germanwings Airbus A320 in southern France. Developing... #breaking,11,32,44744,2245,1
Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI,684,4388,14134290,3,1
BREAKING #A320 crashed could be Germanwings flight #4U9525 from Barcelona to Dusseldorf. http://t.co/FJvY7woj4t,188,1328,58393,383,1
BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV,5,82,502598,30,1
French police have confirmed that an #Airbus operated by -#Germanwings has crashed in Southern France,20,198,47997,426,1
BREAKING: a Germanwings A320 has crashed in the French Alps with 142 passengers on board @9NewsAUS,15,76,15721,363,1
We get reports about an Germanwings A320 crash. Flight 4U9525 was lost from Flightradar24 at 6800 feet near Digne in southern France.,214,1496,213211,368,1
#BREAKING: There are reports that a Germanwings Airbus A320 has crashed in the French Alps. More to come. #9News http://t.co/PfEiviM9Po,21,119,179932,1162,1
A Germanwings A320 has crashed en route to Dusseldorf. Flight Radar 24 of the last known position. #4U9525 http://t.co/FrI93NrYFF,11,51,11432,7228,1
Germanwings flight #4U9525 (registration D-AIPX) was lost from Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/vZaQMUlLaZ,497,2773,213060,368,1
"#breaking Airbus A320 crashes in southern France with 148 people on board 
#Germanwings http://t.co/suRCtXRGsU",11,122,147333,360,1
BREAKING:148passengers were on board #GermanWings Airbus A320 which has crashed in D southern French Alps.May اللَّهُ protect them.AMEEN♥☀♥,15,43,52815,293,1
"Flight #4U9525 is a flight from Barcelona to Dusseldorf.
STD 08:35
ATD 09:00
STA 10:55
Signal lost 09:41
http://t.co/FHoX6q0GHt",104,767,214178,369,1
#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8,4,51,29948,20986,1
BREAKING: Germanwings Airbus A320 crashes in French Alps | via @BBCBreaking,22,63,2021304,734,1
