text,favorite_count,retweet_count,user.followers_count,user.friends_count,label
#Ottawa police confirm shooting at War Memorial. Reports say victim may be a soldier.,23,248,357541,263,1
Only photo I will tweet. CPR being performed on the soldier now. I heard four shots. #ottawa http://t.co/cqdw1yx8AI,10,105,1209,1146,1
At the war memorial in. Ottawa. A soldier has been shot. They are giving him treatment now. #breaking http://t.co/cTmlb1LvgG,80,667,78813,590,1
Uniformed Canadian soldier shot at War Memorial in #Ottawa.,37,431,366088,264,1
Shots fired on parliament hill after a man walked up with a gun. I'm locked in a security office on parliament hill,20,168,4898,1832,1
#BREAKING: Reports of shots fired on Parliament Hill,53,291,173267,339,1
BREAKING | Centre block and east block at Parliament Hill are locked down. #cbcOTT #OTTnews,8,193,66566,296,1
BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn #cdnpoli http://t.co/38qOgXcuet,41,391,10991,2447,1
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/B8LinPFjvj http://t.co/olsk7N4X5T,22,218,543040,415,1
"Witness says say three or four shots fired at #Ottawa's War Memorial, Soldier wounded, being treated by several paramedics.",25,242,358503,263,1
BREAKING: CTV News confirms that shots have been fired on Parliament Hill.,148,594,640273,367,1
RCMP yelling everyone to back away from Parliament Hill. Weapons out. Word of shooting inside. #cdnpoli http://t.co/aiXtvjlLP6,20,183,10990,2447,1
Witness tells #CBCNews suspected shooter of uniformed soldier at #Ottawa's War Memorial was carrying rifle.,12,184,359058,263,1
Scene at Ottawa war memorial. Soldier on duty shot. http://t.co/QvXGDUM4NC,8,120,17046,670,1
BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://t.co/pp6hcfWcRw,28,271,639325,1939,1
"Parliament Hill in lockdown after soldier shot at #Ottawa's War Memorial, just south of East Block.",50,681,365914,264,1
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,80,565,543024,415,1
So I am locked down in Centre Block on Parliament Hill after at least one shooter burst in and opened fire,16,243,18780,2269,1
"Shooter still on loose after uniformed soldier shot at #Ottawa's War Memorial, across road from Parliament. MP's being taken out of offices.",66,837,365930,264,1
Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw,13,155,67569,228,1
#DEVELOPING story here: Soldier shot in Ottawa at War Memorial http://t.co/jjL9ezaDjt,8,103,173231,339,1
BREAKING NEWS: At least 3 shots fired at Ottawa War Memorial. One soldier confirmed shot - http://t.co/wiPaKVPSDb http://t.co/vwxeqj8xe9,17,135,198032,505,1
"Shots are fired outside Canadian parliament in Ottawa and a soldier is wounded, local media report http://t.co/Ygpjna1CRG",144,806,11819289,3,1
MORE: @CTVNews reporting second shooting behind Peace Tower on Parliament Hill #ottnews SHOOTER IS ON THE LOOSE.,7,138,19637,108,1
BREAKING: There have been two shootings on Parliament Hill. One of the victims is believed to be a member of the Canadian Forces.,209,1033,639903,367,1
"One person shot outside Centre Block, a second wounded inside the building in Parliament Hill shooting http://t.co/zng0g0aelU",13,121,42852,643,1
Watch live: CBC NN coverage of shooting of soldier at Ottawa Cenotaph; shooter still on loose around Parliament Hill: http://t.co/16oYL4awFM,36,394,365767,264,1
"BREAKING: Reports of second shooting behind Peace Tower, solider shot on War Memorial a short time ago. Shooter is on the loose.",24,115,35684,25733,1
Snipers set up on National Art Gallery as we remain barricaded in Centre Block on Parliament Hill #cdnpoli. http://t.co/lWKaxLI9jO,279,937,2881,2887,1
RT @WatchCTVNews: LIVE NOW: Cops swarm Parliament Hill following reports of a shooting http://t.co/ekj0wMrYdV http://t.co/55Iz2M0542,108,623,173125,339,1
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/3k0YV9dfLq http://t.co/atLjT75nz0,15,209,543195,415,1
"UPDATE: Shots fired on Parliament Hill, soldier injured at National War Memorial in Ottawa http://t.co/6IRrutW1PI",30,293,79884,228,1
"Police say they have located car belonging to suspect in #Ottawa shooting. Uniformed soldier shot at War Memorial, condition unknown.",50,381,365962,264,1
Thoughts and Prayers with everyone in Ottawa (our office is here in Capital) right now on Parliament Hill with shots fired #PrayForOttawa,116,137,67086,216,1
